Time (s),Position X (px),Position Y (px)












































1.821,0.49,-0.40
1.859,0.39,-0.45
1.907,0.35,-0.54
1.945,-1.10,-0.50
1.992,-1.17,-0.37
2.031,-0.65,-0.25
2.070,0.34,-0.48
2.099,0.53,-0.41
2.154,-1.02,-0.47
2.185,-1.12,-0.47
2.221,-1.13,-0.45
2.270,-0.32,-0.52
2.303,0.46,-0.50
2.341,0.30,-0.58
2.393,-1.16,-0.47
2.434,-1.23,-0.52
2.472,-1.04,-0.52
2.510,0.25,-0.62
2.559,0.38,-0.54
2.596,-0.14,-0.52
2.632,-1.35,-0.52
2.667,-1.09,-0.47
2.716,-0.03,-0.57
2.749,0.37,-0.59
2.789,0.23,-0.60
2.833,-1.06,-0.42
2.871,-1.13,-0.48
2.914,-1.02,-0.48
2.947,0.38,-0.58
3.004,0.43,-0.55
3.042,-0.03,-0.43
3.081,-0.93,-0.32
3.116,-1.16,-0.39
3.160,-0.62,-0.41
3.203,0.43,-0.50
3.227,0.33,-0.50
3.282,-1.09,-0.47
3.326,-1.20,-0.52
3.370,-0.89,-0.45
3.407,0.32,-0.58
3.451,0.40,-0.53
3.520,-1.09,-0.51
3.575,-1.06,-0.49
3.604,-0.54,-0.61
3.642,0.51,-0.46
3.684,0.57,-0.42
3.723,-0.99,-0.48
3.763,-1.16,-0.51
3.806,-0.95,-0.49
3.848,-0.30,-0.60
3.884,0.33,-0.60
3.931,-0.32,-0.49
3.966,-1.06,-0.46
4.015,-1.12,-0.50
4.052,-1.05,-0.52
4.083,0.33,-0.58
4.133,0.41,-0.48
4.170,-0.85,-0.39
4.206,-1.09,-0.37
4.243,-0.48,-0.51
4.287,-0.11,-0.55
4.330,0.35,-0.46
4.367,-0.10,-0.58
4.413,-1.11,-0.49
4.454,-1.12,-0.51
4.530,0.06,-0.50
4.573,0.25,-0.54
4.615,-0.53,-0.57
4.654,-1.03,-0.40
4.690,-1.00,-0.42
4.731,-0.21,-0.51
4.774,0.27,-0.56
4.810,-0.07,-0.57
4.855,-1.02,-0.54
4.893,-1.11,-0.49
4.930,-0.72,-0.56
4.967,0.13,-0.53
5.012,0.25,-0.52
5.054,-0.96,-0.50
5.094,-1.18,-0.57
5.133,-0.93,-0.47
5.180,-0.54,-0.52
5.210,0.15,-0.62
5.250,0.05,-0.55
5.292,-0.58,-0.51
5.341,-1.06,-0.46
5.376,-0.84,-0.44
5.417,-0.39,-0.56
5.458,0.09,-0.57
5.499,-0.69,-0.50
5.546,-1.05,-0.44
5.576,-1.12,-0.49
5.620,-0.51,-0.56
5.664,0.16,-0.57
5.702,-0.15,-0.58
5.742,-0.99,-0.55
5.784,-0.85,-0.44
5.822,-0.77,-0.54
5.862,-0.14,-0.52
5.905,-0.32,-0.61
5.946,-0.18,-0.57
5.988,-1.05,-0.52
6.028,-0.84,-0.53
6.068,-0.24,-0.58
6.104,-0.05,-0.56
6.150,-0.56,-0.65
6.187,-0.89,-0.49
6.227,-0.98,-0.54
6.267,-0.98,-0.54
6.306,-0.38,-0.62
6.352,-0.55,-0.69
6.391,-0.61,-0.59
6.432,-1.04,-0.56
6.468,-0.95,-0.54
6.515,-0.81,-0.50
6.546,-0.46,-0.45
6.588,-0.38,-0.49
6.629,-0.80,-0.49
6.669,-1.06,-0.54
6.712,-0.99,-0.50
6.758,-0.45,-0.51
6.795,-0.76,-0.53
6.836,-0.71,-0.48
6.880,-1.06,-0.52
6.912,-0.83,-0.49
6.951,-0.93,-0.50
6.992,-1.00,-0.48
7.040,-0.58,-0.51
7.080,-0.79,-0.49
7.122,-0.69,-0.55
7.160,-0.47,-0.46
7.204,-0.39,-0.55
7.240,-0.41,-0.55
7.275,-0.55,-0.62
7.323,-0.71,-0.48
7.361,-0.87,-0.49
7.407,-0.74,-0.47
7.439,-0.57,-0.47
7.484,-0.95,-0.50
7.523,-0.71,-0.51
7.559,-0.70,-0.57
7.603,-0.49,-0.63
7.639,-0.61,-0.46
7.683,-0.26,-0.62
7.723,-0.02,-0.62
7.768,-0.50,-0.47
7.805,-0.36,-0.53
7.851,-0.18,-0.56
7.887,-0.28,-0.59
7.930,-0.40,-0.46
7.972,-0.46,-0.58
8.002,-0.80,-0.63
8.053,-0.10,-0.59
8.085,-0.07,-0.51
8.128,-0.95,-0.50
8.169,-0.93,-0.51
8.225,-0.26,-0.57
8.254,-0.11,-0.57
8.287,-0.15,-0.52
8.334,-0.66,-0.53
8.369,-1.08,-0.55
8.413,-0.97,-0.51
8.451,-0.37,-0.57
8.493,-0.22,-0.61
8.534,-0.39,-0.46
8.569,-0.76,-0.55
8.614,-0.90,-0.58
8.657,-0.91,-0.55
8.699,-0.61,-0.69
8.744,-0.11,-0.62
8.779,0.01,-0.60
8.812,-0.54,-0.52
8.853,-0.91,-0.52
8.900,-0.28,-0.59
8.941,0.07,-0.67
8.977,-0.46,-0.63
9.019,-0.84,-0.60
9.058,-0.84,-0.59
9.097,-0.88,-0.55
9.142,0.24,-0.65
9.179,0.03,-0.64
9.220,-0.98,-0.46
9.260,-0.99,-0.50
9.303,-0.91,-0.53
9.342,-0.47,-0.54
9.383,0.14,-0.71
9.424,-0.19,-0.62
9.466,-0.72,-0.52
9.507,-1.02,-0.54
9.540,-0.93,-0.53
9.588,-0.19,-0.48
9.631,0.37,-0.59
9.670,-0.07,-0.55
9.705,-0.66,-0.49
9.750,-1.01,-0.56
9.786,-0.30,-0.52
9.828,-0.03,-0.60
9.871,-0.01,-0.54
9.911,-0.51,-0.50
9.950,-0.77,-0.57
9.988,-0.66,-0.59
10.034,-0.40,-0.61
10.072,-0.36,-0.60
10.105,-0.58,-0.59
10.151,-0.50,-0.53
10.186,-0.63,-0.49
10.231,0.34,-0.62
10.274,0.19,-0.54
10.317,-0.05,-0.52
10.359,-0.54,-0.47
10.397,-1.12,-0.54
10.436,-0.72,-0.55
10.482,-0.08,-0.57
10.515,0.05,-0.53
10.562,-0.17,-0.49
10.596,-0.20,-0.52
10.632,-0.39,-0.41
10.689,-0.32,-0.50
10.715,-0.28,-0.58
10.763,-0.35,-0.60
10.798,-0.45,-0.66
10.838,-0.61,-0.60
10.878,-0.33,-0.54
10.922,-0.22,-0.56
10.965,-0.26,-0.50
10.996,-0.29,-0.56
11.044,-0.37,-0.56
11.086,-0.65,-0.56
11.126,-0.66,-0.53
11.162,-0.30,-0.67
11.205,-0.22,-0.56
11.242,-0.41,-0.51
11.285,-0.30,-0.57
11.330,-0.33,-0.62
11.363,-0.33,-0.59
11.404,-0.33,-0.55
11.445,-0.37,-0.53
11.488,-1.07,-0.59
11.524,-0.79,-0.55
11.565,-0.37,-0.51
11.606,-0.22,-0.60
11.655,-0.33,-0.59
11.692,-0.44,-0.52
11.735,-0.49,-0.58
11.771,-0.44,-0.58
11.825,-0.60,-0.56
11.854,-0.35,-0.47
11.890,-0.13,-0.52
11.935,-0.53,-0.52
11.984,-0.65,-0.50
12.016,-0.29,-0.58
12.051,0.10,-0.55
12.101,-0.16,-0.48
12.134,-0.59,-0.46
12.171,-0.59,-0.43
12.217,-0.68,-0.50
12.260,-0.35,-0.63
12.299,-0.05,-0.54
12.333,-0.12,-0.54
12.382,-0.20,-0.52
12.419,-0.28,-0.50
12.465,-0.16,-0.49
12.500,-0.17,-0.46
12.542,-0.31,-0.54
12.582,-0.44,-0.65
12.631,-0.36,-0.61
12.655,-0.54,-0.61
12.701,-0.42,-0.61
12.744,-0.63,-0.52
12.780,-0.55,-0.61
12.818,-0.53,-0.62
12.862,-0.41,-0.54
12.906,-0.39,-0.59
12.948,-0.35,-0.54
12.979,-0.41,-0.49
13.029,-0.46,-0.45
13.063,-0.59,-0.52
13.110,-0.69,-0.47
13.147,-0.54,-0.44
13.192,-0.70,-0.54
13.227,-0.60,-0.55
13.278,-0.39,-0.49
13.307,-0.35,-0.53
13.347,-0.49,-0.55
13.393,-0.48,-0.52
13.429,-0.54,-0.59
13.474,-0.24,-0.50
13.507,-0.44,-0.57
13.555,-0.51,-0.53
13.589,-0.51,-0.53
13.627,-0.39,-0.50
13.672,-0.62,-0.62
13.707,-0.49,-0.50
13.753,-0.43,-0.53
13.791,-0.66,-0.46
13.837,-0.56,-0.51
13.870,-0.60,-0.49
13.914,-0.62,-0.51
13.952,-0.58,-0.56
13.992,-0.51,-0.49
14.039,-0.47,-0.53
14.078,-0.48,-0.55
14.117,-0.39,-0.49
14.155,-0.60,-0.55
14.201,-0.52,-0.54
14.238,-0.57,-0.48
14.284,-0.54,-0.51
14.316,-0.50,-0.51
14.357,-0.44,-0.50
14.399,-0.75,-0.53
14.442,-0.43,-0.51
14.482,-0.44,-0.56
14.522,-0.36,-0.53
14.566,-0.39,-0.54
14.598,-0.80,-0.55
14.642,-0.45,-0.55
14.682,-0.37,-0.50
14.727,-0.47,-0.48
14.762,-0.51,-0.52
14.805,-0.44,-0.60
14.846,-0.35,-0.59
14.894,-0.53,-0.53
14.967,-0.39,-0.40
15.014,-0.64,-0.55
15.043,-0.50,-0.52
15.092,-0.38,-0.58
15.128,-0.62,-0.68
15.172,-0.32,-0.60
15.206,-0.50,-0.64
15.252,-0.56,-0.68
15.293,-0.49,-0.55
15.335,-0.36,-0.62
15.374,-0.41,-0.53
15.409,-0.35,-0.56
15.455,-0.48,-0.50
15.500,-0.41,-0.56
15.575,-0.38,-0.57
15.619,-0.33,-0.64
15.656,-0.50,-0.60
15.698,-0.54,-0.55
15.739,-0.39,-0.57
15.773,-0.51,-0.58
15.818,-0.50,-0.61
15.855,-0.39,-0.52
15.895,-0.40,-0.59
15.937,-0.46,-0.69
15.983,-0.57,-0.64
